,序號,會員代號,投注金額（元）,本店所屬起算日,保障本店所屬到期日,活動代碼
448,47,綸57482,0,2020/08/01,2021/02/01,
449,48,諺43999,0,2020/08/01,2021/02/01,
450,49,銘91789,0,2020/08/01,2021/02/01,
451,50,享42721,0,2020/08/01,2021/02/01,
452,51,仁06886,0,2020/08/01,2021/02/01,
453,52,志73958,0,2020/08/01,2021/02/01,
454,53,義09555,0,2020/08/01,2021/02/01,
455,54,維15181,0,2020/08/01,2021/02/01,
456,55,寶78036,0,2020/08/01,2021/02/01,
457,56,能38777,0,2020/08/01,2021/02/01,
458,57,煌86943,0,2020/08/01,2021/02/01,
459,58,揚40231,0,2020/08/01,2021/02/01,
460,59,穗47660,0,2020/08/01,2021/02/01, 
461,60,鈊18953,0,2020/08/01,2021/02/01, 
462,61,甄05632,0,2020/09/02,2021/03/02, 
463,62,賓11339,0,2020/10/28,2021/04/28, 
464,63,宇34087,0,2021/12/11,2022/06/11,
465,64,貿51262,0,2022/08/16,2023/02/16,
466,65,峰06741,0,2022/08/15,2023/02/15,
467,66,智65975,0,2022/11/26,2023/05/26, 
468,67,珊20911,0,2023/02/26,2023/08/26,
469,1,儒49238,"2,240",2023/03/24,2023/09/24,
470,2,君33056,0,2023/05/13,2023/11/13,
471,3,薏46697,0,2019/05/01,2019/11/01, 
472,4,男02968,0,2019/06/10,2019/12/10, 
473,5,文71585,0,2019/06/14,2019/12/14, 
474,6,錦16765,0,2019/07/23,2020/01/23, 
475,7,呂17617,0,2019/09/14,2020/03/14, 
476,8,婷51127,0,2019/10/11,2020/04/11, 
477,9,真30556,0,2020/07/22,2021/01/22, 
478,10,青24959,0,2020/08/01,2021/02/01,
479,11,達11899,0,2020/08/01,2021/02/01,
480,12,欽49003,0,2020/08/01,2021/02/01, 
481,13,緯34316,0,2020/08/01,2021/02/01,
482,14,玉73273,0,2020/08/01,2021/02/01,
483,15,華34950,0,2020/08/01,2021/02/01,
484,16,銘28652,0,2020/08/01,2021/02/01,
485,17,婷56060,0,2020/08/01,2021/02/01,
486,18,嫥73503,0,2020/08/01,2021/02/01,
487,19,杰99452,0,2020/08/01,2021/02/01,
488,20,年95733,0,2020/08/01,2021/02/01,
489,21,廷43617,0,2020/08/01,2021/02/01,
490,22,充37912,0,2020/08/01,2021/02/01,
491,23,璇52475,0,2020/08/01,2021/02/01,
492,24,宏46555,0,2020/08/01,2021/02/01,
493,25,皓24821,0,2020/08/01,2021/02/01,
494,26,慧97419,0,2020/08/01,2021/02/01,
495,27,衡39683,0,2020/08/01,2021/02/01,
496,28,勳09125,0,2020/08/01,2021/02/01,
497,29,宏79020,0,2020/08/01,2021/02/01,
498,30,佑46879,0,2020/08/01,2021/02/01,
499,31,毅95355,0,2020/08/01,2021/02/01,
500,32,如66533,0,2020/08/01,2021/02/01,
501,33,甫66368,0,2020/08/01,2021/02/01,
502,34,元34802,0,2020/08/01,2021/02/01,
503,35,琳00825,0,2020/08/01,2021/02/01,
504,36,鳴04312,0,2020/08/01,2021/02/01,
505,37,傑32830,0,2020/08/01,2021/02/01,
506,38,展90738,0,2020/08/01,2021/02/01,
507,39,衛57709,0,2020/08/01,2021/02/01,
508,40,善99782,0,2020/08/01,2021/02/01,
509,41,遠15729,0,2020/08/01,2021/02/01,
510,42,涵33051,0,2020/08/01,2021/02/01,
511,43,文33113,0,2020/08/01,2021/02/01,
512,44,賜50437,0,2020/08/01,2021/02/01,
513,45,麟75090,0,2020/08/01,2021/02/01,
514,46,滿98231,0,2020/08/01,2021/02/01,
515,47,綸57482,0,2020/08/01,2021/02/01,
516,48,諺43999,0,2020/08/01,2021/02/01,
517,49,銘91789,0,2020/08/01,2021/02/01,
518,50,享42721,0,2020/08/01,2021/02/01,
519,51,仁06886,0,2020/08/01,2021/02/01,
520,52,志73958,0,2020/08/01,2021/02/01,
521,53,義09555,0,2020/08/01,2021/02/01,
522,54,維15181,0,2020/08/01,2021/02/01,
523,55,寶78036,0,2020/08/01,2021/02/01,
524,56,能38777,0,2020/08/01,2021/02/01,
525,57,煌86943,0,2020/08/01,2021/02/01,
526,58,揚40231,0,2020/08/01,2021/02/01,
527,59,穗47660,0,2020/08/01,2021/02/01, 
528,60,鈊18953,0,2020/08/01,2021/02/01, 
529,61,甄05632,0,2020/09/02,2021/03/02, 
